intent,question,answer
Como depositar,Boa dia.tudo bem?eu gostaria de saber sobre aquele caixa do family mart verde eh 24 horas?e se eu posso transferir a qualquer hora?obrigado,"Bom dia! Sim, o sr pode utilizar o cartão de depósitos nesta máquinas 24 horas exclusivas do JP Bank."
Como fazer remessa,Como enviar dinheiro do Japão?,"Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você tera independência para fazer a remessa por conta propria e a qualquer horario https://brastelremit.jp/por/24h"
Tempo de remessa,Quanto tempo levará para o beneficiário receber o dinheiro?,"Via de regra, as remessas serão pagas via PIX dentro de algumas horas, se todos os dados estiverem corretos."
"Pedido de envio via metodo ""ByPhone""","Boa tarde Acabei de fazer a transferência de 22+23, Total de 45Yenes ",iremos processar a sua solicitacao. Muito obrigada e otima tarde.
"Pedido de envio via metodo ""ByPhone""",Poderia fazer a remessa de 22yenes para o BBB RRR   obrigado E de 23yenes para o AAAA MMMM VVVVV caixa econômica federal Obrigado,iremos processar a sua solicitacao. Muito obrigada e otima tarde.
"Pedido de envio via metodo ""ByPhone""",Boa tarde Acabei de fazer uma transferência para conta de vocês no valor de 50.700 a ser descontado a taxa de vocês,Bom dia! Processaremos conforme solicitado. Obrigado!
"Pedido de envio via metodo ""ByPhone""",Boa tarde A beneficiária é YYY FFF YYY,Bom dia! Processaremos conforme solicitado. Obrigado!
Como se inscrever,Como posso me inscrever no serviço de remessa?,"Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você tera independência para fazer a remessa por conta propria e a qualquer horario https://brastelremit.jp/por/24h"
Confirmacao de cambio/taxas,"Boa noite gostaria de tirar uma dúvida???pq a cotação do dólar está 5,02 e no app está 4,96???","Bom dia,  Com base na cotação do mercado, cada empresa de remessa ou banco oferece sua taxa de conversão. Qualquer dúvida estamos à disposição. Obrigado."
"Pedido de envio via metodo ""ByPhone""",Bom dia! Hoje eu fiz um depósito! Acho que esqueci de digitar o código. Por favor Verifique pra mim. Fico no aguardo da confirmação! Obrigado,"Bom dia Obrigado pelo envio do comprovante, vamos colocar o saldo no seu aplicativo."
Como se inscrever,Como posso me inscrever no serviço de remessa?,Bom dia!  App Store (iOS): https://apps.apple.com/br/app/brastel-remit-send-money/id1294541529?ls=1  Google Play (Android): https://play.google.com/store/apps/details?id=com.brastelremit&hl=pt_BR ------- Qualquer dúvida estamos à disposição. Obrigado.
Envio via Deposit Code,"Olá tudo bem, transferi um dinheiro do paypayginkou para essa conta mas não coloquei o número de identificação no no do depósito, oque fazer?","Bom dia,  Por favor, poderia nos enviar a foto ou print do comprovante para verificarmos?"
Registro/Atualizacao de Documento,Tem que registrar o my number? Não sei como fazer alguém poderia me ensinar por favor obrigada,"Bom dia, Neusa  Para cadastrar o My number, por favor acesse em seu aplicativo:  1.Clicar nas 3 linhas no canto esquerdo do App da Brastel 2. Minha conta. 3. Perfil 4.My number Caso não consiga, você pode enviar fotos (frente e verso do My number aqui e iremos cadastrar para você."
Solicitacao de cartao de remessas,Gostaria que me enviasse o cartão remessa,"Bom dia,  Verificamos que você já solicitou o novo cartão de deposito (laranja). Você receberá o cartão num prazo de 3 a 4 dias uteis.  Qualquer dúvida estamos à disposição. Obrigado."
